区县,常住人口（万人）,出生率(‰),GDP（亿元）,义务教育投入,年份,教育财政拨款情况（万元）,高中在校学生人均经费情况（元）,中等职业学校在校学生人均经费情况（元）,初中在校学生人均经费情况（元）,小学在校学生人均经费情况（元）,幼儿园在园幼儿人均经费情况（元）,大学生（万人）,高中生（万人）,初中生（万人）,小学生（万人）,在园幼儿（万人）
浦东新区,568.15,,16013,,2022,,,,,,,,,,,
闵行区,268.88,,2880.11,,2022,,,,,,,,,,8.28,6.19
宝山区,227.19,4.23,1771.2,,2022,,,,,,,,0.71,1.88,7.77,5.01
松江区,195.45,5.44,1750.12,,2022,,,,,,,,1.11,3.63,7.52,4.96
嘉定区,186.34,,2768.3,,2022,,,,,,,,0.94,3.05,6.24,4.29
青浦区,126.56,5.05,1334.45,,2022,,,,,,,,0.66,,,2.88
青浦区,129.27,5.11,1317.25,,2021,309684.86,60306.09,57801.61,51453.36,41085.69,42322.54,,0.62,,,2.9
杨浦区,124.25,,2076.97,,2022,,,,,,,,,,,
普陀区,89.78,,1248.23,,2022,,,,,,,,,,4.4,2.31
奉贤区,112.63,,1371.11,,2022,,,,,,,,0.67,2.03,3.86,2.55
徐汇区,,,,,2022,,,,,,,,,,5.13,2.27
徐汇区,111.48,4.7,2438.48,,2021,357881.95,62207.24,46451.91,49761.44,32399.64,41551.95,,,,5,2.44
静安区,97.57,,2627.97,,2022,,,,,,,,,,,
金山区,82.37,,1117.74,,2022,,,,,,,,,,2.84,
金山区,81.52,,1182.78,,2021,276924.27,58850.55,52814.47,57576.39,38107.52,40123.75,,,,2.74,
虹口区,71.48,3.5,1214.77,,2021,313641.44,84137.54,86040.02,68019.57,42679.81,46509.39,,,,2.42,1.2
长宁区,69.57,,1800,,2021,207518.9,72607.37,81398.19,54856.83,34949.91,43138.81,,,,,
黄浦区,66.2,,3023.05,,2022,,,,,,,,,,,
崇明区,60.73,2.99,409.72,,2021,203790.07,76995.07,54906.84,72834.37,55195.79,50309.93,,,,,
浦东新区,504.443,,,,2023,,,,,,,,,,,
闵行区,242.9372,,,,2023,,,,,,,,,,,
宝山区,190.4886,,,,2023,,,,,,,,,,,
松江区,158.2398,,,,2023,,,,,,,,,,,
嘉定区,147.1231,,,,2023,,,,,,,,,,,
杨浦区,131.3222,,,,2023,,,,,,,,,,,
普陀区,128.8881,,,,2023,,,,,,,,,,,
徐汇区,108.513,,,,2023,,,,,,,,,,,
奉贤区,108.3463,,,,2023,,,,,,,,,,,
青浦区,108.1022,,,,2023,,,,,,,,,,,
长宁区,69.0571,,,,2023,,,,,,,,,,,
崇明区,70.3722,,,,2023,,,,,,,,,,,
虹口区,85.2476,,,,2023,,,,,,,,,,,
黄浦区,85.2476,,,,2023,,,,,,,,,,,
金山区,73.241,,,,2023,,,,,,,,,,,
静安区,24.6788,,,,2023,,,,,,,,,,,
浦东新区,576.77,,15353.99,,2021,1423746.85,54026.82,47278.49,43968.77,30957.03,35090.53,,,,,
闵行区,267.32,,2843.19,,2021,659597.1,54786.59,44457.73,45728.68,31726.81,41070.48,,,,10.71,6.57
宝山区,225.01,4.43,1725.56,,2021,506638.42,54867.71,58544.64,42387.1,32803.56,33912.52,,0.64,1.91,7.59,5.35
松江区,193.88,5.59,1782.28,,2021,449801.73,57926.8,50535.31,45009.17,29303.98,36897.66,,0.99,3.33,7.22,5.1
嘉定区,185.48,,2705.6,,2021,405118.14,56525.37,45598.77,50505.65,33494.3,43851.11,,0.86,2.84,5.88,4.29
杨浦区,123.05,,1951.32,,2021,347942.26,62835.17,99121.02,51668.79,38169.23,39007.64,,1.14,2.54,4.35,2.51
普陀区,123.98,,1226.49,,2021,316969.45,60391.9,63057.83,50317.61,34056.13,35880.23,,,,4.36,2.54
奉贤区,114.71,4.14,1300,,2021,314102.29,56017.39,64710.63,46456.45,33763.82,38909.34,,0.65,1.92,3.66,2.54
静安区,96.6,,2565.43,,2021,451803.01,79460.55,75105.82,62417.16,46474.69,45963.37,0.46,,,3.78,2.11
黄浦区,58.21,,2902.4,,2021,380292.65,76807.95,64169.36,69101.22,47744.1,51561.38,,0.97,1.59,2.26,1.06
黄浦区,66.2,,2616.94,,2020,378866.92,73661.19,73464.16,61956.46,45720.86,46094.43,,0.96,1.51,2.2,1.14
徐汇区,111.31,5.17,2176.73,,2020,350525.21,59513.97,45173.16,47846.3,30835.24,39915.27,,1.2,2.97,4.78,2.49
长宁区,69.31,4.69,1561.17,,2020,207291.96,69885.88,81011.6,52825.35,32470.96,40752.05,,0.45,1.34,2.29,1.25
静安区,97.57,,2323.08,,2020,444424.02,74572.93,69765.27,60540.43,42519.7,42927.55,0.52,,,3.71,2.19
普陀区,123.98,,1129.51,,2020,296299.31,60358.92,59675.72,48347.55,32301.71,34905.42,,,,4.25,2.67
虹口区,75.75,3.97,1047.28,,2020,309019.82,83983.58,64947.29,67922.52,42178.74,44026.94,,,,2.36,1.29
杨浦区,124.25,4.51,2106.63,,2020,326073.16,62011.61,97548.19,51048.64,37724.66,36028.54,,1.1,2.35,4.2,2.67
闵行区,265.35,5.98,2564.82,,2020,634391.91,53739.73,43833.82,44963.69,31623.58,39018.6,,1.03,2.8,10.3,6.79
宝山区,223.52,4.92,1578.48,,2020,504515.76,53339.28,56847.73,41132.56,32541.12,33084.3,,0.73,1.63,7.34,5.6
嘉定区,183.43,5.96,2488.44,,2020,394019.95,53361.54,45589,47559.06,31281.55,42192.61,,0.78,1.45,5.53,4.25
浦东新区,568.15,5.83,13207.03,,2020,1319399.54,52064.53,45674.49,40440.31,28953.66,30887.81,,,,21.16,13.64
金山区,82.28,,1076.28,,2020,253208.76,56160.04,56127.37,52961.01,36549.77,38832.64,,0.61,1.55,2.63,1.86
松江区,190.97,6.24,1637.11,,2020,417141.58,57309.63,50005.78,44356.3,28993.91,33403.8,,0.93,3.07,6.86,5.03
青浦区,127.14,5.25,1194.01,,2020,294543.76,59972.14,56460.86,47532.42,40910.44,42226.93,,0.61,1.78,3.43,2.82
奉贤区,114.09,4.37,1190.19,,2020,308412.45,55216.88,64580.13,43510.97,32956.55,36357.92,,0.65,1.81,3.53,2.56
崇明区,63.79,3.62,381.83,,2020,201270.95,76994.82,54890.21,68198.75,53936.33,47314.94,,0.44,1.1,1.56,0.9
黄浦区,65.08,,2577.97,,2019,378841.34,69119.71,73439.47,60606.13,45655.31,44303.18,,0.93,1.45,2.11,1.17
徐汇区,109.46,6.28,2111.01,,2019,321014.53,58548.61,44541.56,47526.96,30437.58,39090.14,,1.16,2.82,4.57,2.47
长宁区,63,,1649.14,,2019,207266.19,69688.11,80937.62,52759.47,32271.42,39654.12,,0.45,1.3,2.25,1.27
静安区,105.77,,2298.74,,2019,439567.91,74198.49,69415.18,60535.77,42515.48,42500.36,,,,3.6,2.21
普陀区,88,,,,2019,293725.49,57161.73,47224.12,47592.57,31746.13,33056.49,,,,4.1,2.75
